ID,Title,Description,Campus,Zone,Location,Lat,Long
1,Deck 2,1,1,1,166 Washington Street,40.738852,-74.173350
1,Bradley Lot,1,1,1,110 Warren Street,40.740025,-74.177529
1,Hill Hall Lot,1,1,1,114 Warren Street,40.740694,-74.177442
